Commodity	Contract_Type	Delivery_Month	Delivery_Year	Strike_Price	Business_Date	Match_Time	Price_Indicator	Price	Message_Code	Amend_Code	Volume
ACF	F	F	2024	0000000	20231009	203930	 	0000032300	Y	D	00020
ACF	F	F	2024	0000000	20231009	203930	 	0000032300	Y	D	00020
ACF	F	G	2024	0000000	20231009	204108	 	0000032300	Y	D	00020
ACF	F	G	2024	0000000	20231009	204108	 	0000032300	Y	D	00020
FEF	F	F	2025	0000000	20231009	163700	 	0000010625	Y	D	00050
FEF	F	F	2025	0000000	20231009	163700	 	0000010625	Y	D	00050
FEF	F	G	2025	0000000	20231009	163700	 	0000010625	Y	D	00050
FEF	F	G	2025	0000000	20231009	163700	 	0000010625	Y	D	00050
FEF	F	H	2025	0000000	20231009	163700	 	0000010625	Y	D	00050
FEF	F	H	2025	0000000	20231009	163700	 	0000010625	Y	D	00050
FNAXJ	F	Z	2023	0000000	20231009	085628	 	0008536211	Y	D	03420
PVF	F	V	2023	0000000	20231009	205800	 	0000013650	Y	D	00010
PVF	F	V	2023	0000000	20231009	205800	 	0000013650	Y	D	00010
PVF	F	X	2023	0000000	20231009	210400	 	0000013600	Y	D	00010
